x,y,z
3.0807283,-0.38590583,-4.181165
3.0666668,-0.37907848,-4.207832
3.1005669,-0.38590583,-4.201656
3.0739,-0.37907848,-4.213333
3.1335127,-0.38590583,-4.201656
3.1601794,-0.37494212,-4.213333
3.1733334,-0.35530356,-4.186667
2.812299,-0.4030005,-4.1656904
3.0326922,-0.41521046,-4.234498
3.1005669,-0.4240219,-4.201656
3.0739,-0.4392324,-4.213333
3.0807283,-0.4240219,-4.181165
3.0666668,-0.4392324,-4.207832
3.1797714,-0.46991882,-4.1981
3.1531048,-0.467274,-4.186667
3.1601794,-0.4406074,-4.213333
3.1335127,-0.4240219,-4.201656
3.1797714,-0.5031692,-4.171433
2.7985337,-0.067080565,-4.2415757
2.82034,-0.067080565,-4.268242
2.8368242,-0.040413894,-4.266667
2.855521,-0.026666667,-4.2933335
2.7985337,-0.08203926,-4.2415757
2.8748968,-0.1571233,-4.288713
2.8482301,-0.1324959,-4.266667
2.8470066,-0.10582924,-4.2933335
2.82034,-0.08203926,-4.268242
2.8820055,-0.1571233,-4.3153796
2.560434,-0.23970334,-4.241157
2.8748968,-0.18385446,-4.2620463
2.881264,-0.21052112,-4.2620463
2.8832695,-0.18666668,-4.288713
2.8948534,-0.21333334,-4.2933335
2.560434,-0.25724986,-4.267824
2.5871007,-0.26758322,-4.266667
2.6133335,-0.27287462,-4.2933335
2.6933334,-0.2846916,-4.266667
2.6666667,-0.27446964,-4.2933335
2.799323,-0.31596822,-4.270128
2.7726564,-0.3048149,-4.266667
2.746667,-0.29699317,-4.2933335
2.8347986,-0.30726013,-4.243461
2.8266668,-0.30322835,-4.270128
2.8533335,-0.3022849,-4.2933335
2.8928478,-0.2539268,-4.266667
2.8915842,-0.27965,-4.2933335
3.0326922,-0.39317268,-4.2478585
3.0655956,-0.39317268,-4.274525
3.0922625,-0.39244837,-4.2933335
3.0739,-0.39317268,-4.265708
3.0933335,-0.39244837,-4.2923746
3.1601794,-0.38903633,-4.265708
3.1466668,-0.388312,-4.2923746
3.1733334,-0.38031113,-4.2933335
3.0326922,-0.41521046,-4.2478585
3.0922625,-0.402068,-4.301192
3.0666668,-0.41727844,-4.274525
3.1005669,-0.402068,-4.2923746
3.0739,-0.41727844,-4.266667
3.1335127,-0.402068,-4.2923746
3.1601794,-0.41865343,-4.266667
3.1733334,-0.42837822,-4.2933335
2.8783715,-0.044616375,-4.3877983
2.8704016,-0.026666667,-4.3611317
2.8640747,-0.053333335,-4.346667
2.887898,-0.017949708,-4.3877983
2.8720446,-0.08228139,-4.3733335
2.873673,-0.10607135,-4.346667
2.8820055,-0.13273802,-4.346667
2.897407,-0.13561472,-4.3733335
2.9449174,-0.23763172,-4.3710074
2.9336522,-0.21096504,-4.3733335
2.9089913,-0.18666668,-4.346667
2.9616792,-0.23763172,-4.397674
2.6133335,-0.2638895,-4.346667
2.5866668,-0.26276752,-4.3733335
2.8533335,-0.31499958,-4.346667
2.8266668,-0.30872256,-4.3733335
2.9182506,-0.26572323,-4.344341
2.9333334,-0.2748434,-4.3710074
2.9066668,-0.30148488,-4.3733335
2.9616792,-0.24912018,-4.397674
3.1189291,-0.39927572,-4.3210435
3.1733334,-0.39127484,-4.3408637
3.1466668,-0.39927572,-4.3419065
3.1189291,-0.402068,-4.3210435
3.1466668,-0.41179276,-4.3210435
3.1733334,-0.4097248,-4.341907
2.8783715,-0.07128304,-4.4020386
2.8969238,-0.07128304,-4.428705
2.9048216,-0.044616375,-4.4266667
2.9279523,-0.026666667,-4.4533334
2.8783715,-0.08228139,-4.4020386
2.8954015,-0.10894806,-4.4020386
2.9123254,-0.10666667,-4.428705
2.9334538,-0.13333334,-4.4533334
2.5636783,-0.23166656,-4.470117
2.9431965,-0.17830715,-4.4533334
2.948735,-0.20260552,-4.4266667
2.9616792,-0.22927219,-4.4266667
2.9659686,-0.23164047,-4.4533334
2.590345,-0.247984,-4.470117
2.5866668,-0.25215346,-4.4434505
2.6133335,-0.25350168,-4.4266667
2.8533335,-0.31275433,-4.4003386
2.8266668,-0.31277952,-4.412079
2.9333334,-0.3024283,-4.416004
2.9066668,-0.3199748,-4.4163427
2.9643967,-0.30245352,-4.442671
2.966076,-0.27578685,-4.4266667
2.9703648,-0.26666668,-4.4533334
2.9066668,-0.3218512,-4.4430094
2.9333334,-0.32682553,-4.4693375
2.9643967,-0.32497433,-4.4693375
-0.32133558,0.16246976,-0.7188765
-0.30980673,0.16246976,-0.7188765
-0.32133558,0.13333334,-0.71718574
-0.32471865,0.10666667,-0.7183092
-0.2831401,0.13607971,-0.7188765
-0.26666668,0.10941305,-0.7165743
-0.29333332,0.10666667,-0.71488357
-0.23535937,0.08274639,-0.7176978
-0.3233831,0.07618825,-0.7183092
-0.29333332,0.07618825,-0.71600705
-0.26666668,0.072478324,-0.7176978
-0.23535937,0.07629006,-0.7176978
-0.32133558,0.16246976,-0.7286775
-0.30980673,0.16246976,-0.7286775
-0.40352133,0.08185821,-0.7982457
-0.34666666,0.12617937,-0.7820108
-0.35004973,0.10852488,-0.75534415
-0.32471868,0.13333334,-0.7286775
-0.3767164,0.08185821,-0.7715791
-0.30980673,0.15098782,-0.75534415
-0.2831401,0.12706755,-0.7466667
-0.26666668,0.11641543,-0.7733334
-0.18202604,0.094391264,-0.75431716
-0.2086927,0.09713766,-0.7466667
-0.21333334,0.11315223,-0.7733334
-0.10666667,0.100095384,-0.76942414
-0.13333334,0.11448664,-0.7809838
-0.026666667,0.08103521,-0.7874783
-0.053333335,0.10113059,-0.7884403
-0.40352133,0.062205978,-0.7982457
-0.37118933,0.008872638,-0.7915858
-0.34666666,0.031727552,-0.76491916
-0.37333336,0.058394216,-0.7715791
-0.35004973,0.07618825,-0.7449124
-0.26666668,0.045811653,-0.73133475
-0.29333332,0.022854915,-0.74958724
-0.2086927,0.07629006,-0.72765046
